VendorId, ServiceId, ProductId, CircleCode, MSISDN, Provisioned-ServiceId, ResultCode, Result Description,Time
1,40520023,7520,BIH,9.20E+11,40520023,124,Below minimum balance,38:20.4
1,30530023,7517,OR,9.20E+11,30530023,102,Subscriber not found,38:20.5
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:20.5
1,50560023,7521,AS,9.20E+11,50560023,124,Below minimum balance,38:20.6
1,405226,7571,BIH,9.20E+11,405226,124,Below minimum balance,38:20.7
1,20510023,7523,WB,9.20E+11,20510023,124,Below minimum balance,38:20.7
1,50560023,7521,AS,9.20E+11,50560023,124,Below minimum balance,38:20.8
1,305300900,6106,OR,9.20E+11,305300900,124,Below minimum balance,38:20.9
1,5056001800,6147,AS,9.20E+11,5056001800,0,Response Success,38:20.9
1,405226,7571,BIH,9.20E+11,405226,124,Below minimum balance,38:21.0
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:21.0
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:21.1
1,405200500,6236,BIH,9.20E+11,405200500,124,Below minimum balance,38:21.2
1,50560023,7521,AS,9.20E+11,50560023,124,Below minimum balance,38:21.2
1,30530023,7517,OR,9.20E+11,30530023,124,Below minimum balance,38:21.3
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:21.3
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:21.4
1,3053001700,6338,OR,9.20E+11,3053001700,124,Below minimum balance,38:21.5
1,505600900,6200,AS,9.20E+11,505600900,124,Below minimum balance,38:21.5
1,20510023,7523,WB,9.20E+11,20510023,124,Below minimum balance,38:21.6
1,7054000023,10998,UPE,9.20E+11,7054000023,124,Below minimum balance,38:21.7
1,50560023,7521,AS,9.20E+11,50560023,124,Below minimum balance,38:21.8
1,7054000023,10998,UPE,9.20E+11,7054000023,124,Below minimum balance,38:21.8
1,40520023,7520,BIH,9.20E+11,40520023,124,Below minimum balance,38:21.9
1,60100023,11000,DEL,9.20E+11,60100023,124,Below minimum balance,38:21.9
1,405226,7571,BIH,9.20E+11,405226,124,Below minimum balance,38:21.9
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:22.0
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:22.1
1,7054000023,10998,UPE,9.20E+11,7054000023,124,Below minimum balance,38:22.2
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:22.2
1,405226,7571,BIH,9.20E+11,405226,124,Below minimum balance,38:22.3
1,40520023,7520,BIH,9.20E+11,40520023,0,Response Success,38:22.4
1,505600900,6200,AS,9.20E+11,505600900,0,Response Success,38:22.4
1,60100023,11000,DEL,9.20E+11,60100023,0,Response Success,38:22.5
1,405226,7571,BIH,9.20E+11,405226,124,Below minimum balance,38:22.5
1,3053001700,6338,OR,9.20E+11,3053001700,124,Below minimum balance,38:22.6
1,40520023,7520,BIH,9.20E+11,40520023,124,Below minimum balance,38:22.6
1,505600900,6200,AS,9.20E+11,505600900,0,Response Success,38:22.7
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:22.8
1,30530023,7517,OR,9.20E+11,30530023,0,Response Success,38:22.9
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:23.0
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:23.0
1,50560023,7521,AS,9.20E+11,50560023,124,Below minimum balance,38:23.2
1,505600900,6200,AS,9.20E+11,505600900,0,Response Success,38:23.2
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:23.2
1,305326,7575,OR,9.20E+11,305326,124,Below minimum balance,38:23.2
1,40520023,7520,BIH,9.20E+11,40520023,124,Below minimum balance,38:23.3
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:23.5
1,305326,7575,OR,9.20E+11,305326,124,Below minimum balance,38:23.6
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:23.7
1,40520023,7520,BIH,9.20E+11,40520023,124,Below minimum balance,38:23.7
1,50560023,7521,AS,9.20E+11,50560023,124,Below minimum balance,38:23.7
1,705426,11085,UPE,9.20E+11,705426,124,Below minimum balance,38:23.8
1,40520023,7520,BIH,9.20E+11,40520023,124,Below minimum balance,38:23.8
1,405200500,6236,BIH,9.20E+11,405200500,124,Below minimum balance,38:23.8
1,7054000023,10998,UPE,9.20E+11,7054000023,0,Response Success,38:23.8
1,60100023,11000,DEL,9.20E+11,60100023,0,Response Success,38:24.1
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:24.2
1,40520023,7520,BIH,9.20E+11,40520023,124,Below minimum balance,38:24.2
1,7054000023,10998,UPE,9.20E+11,7054000023,124,Below minimum balance,38:24.3
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:24.3
1,3053001400,6235,OR,9.20E+11,3053001400,124,Below minimum balance,38:24.4
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:24.4
1,405200500,6236,BIH,9.20E+11,405200500,124,Below minimum balance,38:25.2
1,7054000023,10998,UPE,9.20E+11,7054000023,124,Below minimum balance,38:25.7
1,3053001700,6338,OR,9.20E+11,3053001700,0,Response Success,38:26.3
1,305300900,6106,OR,9.20E+11,305300900,0,Response Success,38:26.3
1,80970023,11012,UPW,9.20E+11,80970023,124,Below minimum balance,38:26.3
1,505600900,6200,AS,9.20E+11,505600900,0,Response Success,38:26.4
1,60100023,11000,DEL,9.20E+11,60100023,124,Below minimum balance,38:26.4
1,405200500,6236,BIH,9.20E+11,405200500,0,Response Success,38:26.6
1,505600900,6200,AS,9.20E+11,505600900,0,Response Success,38:26.6
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:26.7
1,50560023,7521,AS,9.20E+11,50560023,124,Below minimum balance,38:26.9
1,40520023,7520,BIH,9.20E+11,40520023,0,Response Success,38:26.9
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:27.1
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:27.2
1,40520023,7520,BIH,9.20E+11,40520023,0,Response Success,38:27.5
1,20960023,11001,HAR,9.20E+11,20960023,124,Below minimum balance,38:27.5
1,60100023,11000,DEL,9.20E+11,60100023,124,Below minimum balance,38:27.6
1,60100023,11000,DEL,9.20E+11,60100023,124,Below minimum balance,38:27.6
1,60100023,11000,DEL,9.20E+11,60100023,0,Response Success,38:27.7
1,50560023,7521,AS,9.20E+11,50560023,124,Below minimum balance,38:27.7
1,40520023,7520,BIH,9.20E+11,40520023,0,Response Success,38:27.8
1,50560023,7521,AS,9.20E+11,50560023,124,Below minimum balance,38:27.8
1,505600900,6200,AS,9.20E+11,505600900,0,Response Success,38:28.0
1,505600900,6200,AS,9.20E+11,505600900,124,Below minimum balance,38:28.0
1,60100023,11000,DEL,9.20E+11,60100023,0,Response Success,38:28.1
1,40520023,7520,BIH,9.20E+11,40520023,124,Below minimum balance,38:28.1
1,40520023,7520,BIH,9.20E+11,40520023,124,Below minimum balance,38:28.2
1,505600800,6135,AS,9.20E+11,505600800,124,Below minimum balance,38:28.3
1,60100023,11000,DEL,9.20E+11,60100023,124,Below minimum balance,38:28.3
1,60100023,11000,DEL,9.20E+11,60100023,0,Response Success,38:28.4
1,505600900,6200,AS,9.20E+11,505600900,124,Below minimum balance,38:28.4
1,3053001900,6291,OR,9.20E+11,3053001900,124,Below minimum balance,38:28.5
1,7054000023,10998,UPE,9.20E+11,7054000023,124,Below minimum balance,38:28.5
1,305300900,6106,OR,9.20E+11,305300900,0,Response Success,38:28.6
1,20960023,11001,HAR,9.20E+11,20960023,124,Below minimum balance,38:28.7
1,20960023,11001,HAR,9.20E+11,20960023,124,Below minimum balance,38:28.8
1,601026,11083,DEL,9.20E+11,601026,124,Below minimum balance,38:28.9
1,60100023,11000,DEL,9.20E+11,60100023,0,Response Success,38:29.0
1,60100023,11000,DEL,9.20E+11,60100023,124,Below minimum balance,38:29.0
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:29.0
1,30530023,7517,OR,9.20E+11,30530023,0,Response Success,38:29.1
1,4052002100,6234,BIH,9.20E+11,4052002100,124,Below minimum balance,38:29.2
1,3053001400,6235,OR,9.20E+11,3053001400,0,Response Success,38:29.2
1,3053001700,6338,OR,9.20E+11,3053001700,124,Below minimum balance,38:29.3
1,705426,11085,UPE,9.20E+11,705426,0,Response Success,38:29.5
1,20960023,11001,HAR,9.20E+11,20960023,124,Below minimum balance,38:29.5
1,50560023,7521,AS,9.20E+11,50560023,124,Below minimum balance,38:29.7
1,20960023,11001,HAR,9.20E+11,20960023,124,Below minimum balance,38:29.7
1,80970023,11012,UPW,9.20E+11,80970023,124,Below minimum balance,38:29.7
1,505600900,6200,AS,9.20E+11,505600900,0,Response Success,38:29.7
1,60100023,11000,DEL,9.20E+11,60100023,124,Below minimum balance,38:29.8
1,505600900,6200,AS,9.20E+11,505600900,0,Response Success,38:29.9
1,60100023,11000,DEL,9.20E+11,60100023,0,Response Success,38:31.0
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:31.1
1,7054169,11122,UPE,9.20E+11,7054169,124,Below minimum balance,38:31.2
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:31.3
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:31.3
1,60100023,11000,DEL,9.20E+11,60100023,0,Response Success,38:31.4
1,40520017500,6107,BIH,9.20E+11,40520017500,124,Below minimum balance,38:31.4
1,405224,7569,BIH,9.20E+11,405224,124,Below minimum balance,38:31.4
1,405200700,6980,BIH,9.20E+11,405200700,0,Response Success,38:31.6
1,405200500,6236,BIH,9.20E+11,405200500,124,Below minimum balance,38:31.6
1,40520023,7520,BIH,9.20E+11,40520023,0,Response Success,38:31.7
1,20960023,11001,HAR,9.20E+11,20960023,124,Below minimum balance,38:31.8
1,40520023,7520,BIH,9.20E+11,40520023,0,Response Success,38:31.9
1,80970023,11012,UPW,9.20E+11,80970023,124,Below minimum balance,38:31.9
1,50560023,7521,AS,9.20E+11,50560023,124,Below minimum balance,38:32.0
1,60100023,11000,DEL,9.20E+11,60100023,0,Response Success,38:32.0
1,40520023,7520,BIH,9.20E+11,40520023,124,Below minimum balance,38:32.1
1,20960023,11001,HAR,9.20E+11,20960023,124,Below minimum balance,38:32.1
1,505626,7552,AS,9.20E+11,505626,124,Below minimum balance,38:32.2
1,8090726,11100,UPW,9.20E+11,8090726,124,Below minimum balance,38:32.3
1,405200500,6236,BIH,9.20E+11,405200500,0,Response Success,38:32.4
1,60100023,11000,DEL,9.20E+11,60100023,0,Response Success,38:32.4
